"","Groups","KIF2C","CKAP2L","CLSPN","RRM2","KIF15","RAD51AP1","PDE2A","ESPL1","TOP2A","SCN4B","DONSON","CAV1","ADAM33","CA4","CCNF","RTKN2","ESR1","CALCOCO1","DSCC1","ADAMTS14","MOCS1","CDC123","MCM6","IGFBP6","SH2B2","PFDN2","CDKN2D","SH2D2A","TGFBR2","YIF1B","DNAJC9","GABRD","LSM4","MTHFD2","GPD1L","CPA1","DLX5","AKAP12"
"TCGA-GM-A2DC-01A","LumA",7.35446216975448,5.80543304276289,6.25999929663648,6.98475768608828,6.34945529812228,7.27984601097465,9.57617604393198,7.29894106547474,9.10087826561279,9.01507837636844,10.1320453736775,11.1258412892754,7.70465975558878,3.62571985485129,11.5637083871117,6.84532983708405,14.6116358407462,12.1933027555825,8.04552319863099,7.42802486909716,8.98229478305789,11.1446153157905,10.732219997033,8.72899662696302,8.27538960659967,12.7202695856013,9.90267563656877,6.46084946899169,10.8519540962712,11.5181217589534,8.3390997760831,9.17655338187691,12.6550959147203,9.77368256144256,12.3229340999511,3.022860199232,4.77939516624859,9.19759190017003
"TCGA-E9-A295-01A","LumA",8.89077077629575,8.51452754998878,7.85003494765368,10.4024910507151,7.98790601076077,8.69975849644493,9.64749503274159,9.55746987392293,12.2946772744633,9.59432146290205,8.48041785178923,13.2645612497754,9.26898354914478,4.45736980837025,10.2319462697615,8.00268015863692,13.6932015001204,11.8267171472941,8.59864288430783,7.73862054871424,10.264197878598,11.0763334840508,11.5750495176958,9.81196306912368,7.40933322960335,11.1927808969626,8.99024414822456,6.76453495527098,12.8800102409288,11.5485211403951,8.44575054144547,7.49965568122907,12.1532598691061,11.7597729403066,11.5254210746062,0.932638572860751,5.33857958407669,10.7927564029759
"TCGA-A8-A083-01A","LumA",8.10386850704129,7.35446216975448,8.18553570099325,9.48344329914098,7.67195780030873,8.11801519439677,8.49177566505104,7.4629380283172,10.1562560488387,8.28858976764853,8.80324328468687,11.0155812960416,6.98475768608828,4.68256788420741,9.26193700364484,8.08933481656732,16.9752894935607,12.2481946851905,8.06015269906488,6.78468157613233,9.18356498954594,11.3280557229635,10.6088011364184,7.56966275900767,6.8056189286579,11.1706705264918,8.50290881542273,5.89789904016819,11.4507008276548,10.8794401364512,9.64173247021336,8.14572251138459,11.9407327845657,11.4099365906807,13.4984407315178,2.96090741851669,5.38596497848096,8.39908095343754
"TCGA-AN-A0AS-01A","LumA",10.227379474091,8.96571882363242,8.13110014821812,9.75640516609401,8.84698345698929,8.24967996338187,8.10386850704129,8.75706709312383,12.0448332620033,7.51799569674383,9.21922934155836,12.1099630173545,6.78468157613233,2.43809770264888,10.4812133483726,8.43384773599546,13.4759799701708,11.5787267398767,8.53630899246161,9.31113903079018,9.19759190017003,11.0460221318732,10.8872225790836,8.83807693186077,7.12355520276278,11.4323140780582,9.254407535865,7.4451353770574,12.3952388729607,11.4247346662013,9.34557307912089,7.1616892132529,11.3728085266052,12.5931454721737,12.9729346552209,0.846473619453276,7.70465975558878,11.087940957648
"TCGA-LD-A66U-01A","LumA",8.70953394303779,5.89789904016819,6.37153712039308,9.41260161422471,6.88491732031664,7.80337998433956,8.19901555505837,8.99024414822456,9.69462018232773,9.10879208148896,8.27538960659967,11.3390932538634,10.1272941327124,4.68256788420741,10.1421239582481,7.12355520276278,13.1230887658092,12.5550319699921,7.40933322960335,7.10419223725763,9.99550261670314,10.9267816673315,10.8285504086784,10.3095242106669,8.13110014821812,11.9039461683625,8.48041785178923,9.1540625761406,11.5142866354272,11.7210461496696,8.89905589017084,7.65532501996219,13.1148813272736,10.8440941012077,11.4920400089316,2.62042365680417,3.56892143565006,9.93908626879702
"TCGA-BH-A0W7-01A","LumA",9.71693406952155,8.7479289438913,8.56800095103933,11.582526735234,9.35225731217723,8.96571882363242,8.14572251138459,9.34557307912089,12.5767618042413,7.77199033987447,8.93274844146578,11.7713687186501,7.62161959559853,1.61173721774622,10.5029858397874,9.53277788632222,12.5332526312285,11.4211608032095,7.86588191270035,8.15886315330281,9.08555779164735,11.1221213284103,11.9737700064965,8.76618525341501,6.88491732031664,10.2957226268876,9.16918745735529,9.1540625761406,12.866953566561,11.1891313858335,8.67012813273099,7.42802486909716,12.1707927194389,11.9569337787084,12.2344642677915,1.75569141499861,6.72015001484376,11.4431019285596
"TCGA-A8-A09D-01A","LumA",10.7119253368702,8.49177566505104,9.48976681756243,12.2434159298297,7.51799569674383,9.13141744537965,10.2041175549159,10.7570080947938,12.6098860581663,9.68296573882427,9.54505418259233,13.7611458907682,7.18130057718394,7.48127717322089,11.1408695770549,9.09340845888605,13.1820372291668,11.6590289888277,7.55190625608641,8.70953394303779,10.4156377299344,11.3948939065895,11.1816558860527,9.35888096721811,7.65532501996219,10.7000313163286,9.90267563656877,6.94644437520396,13.5794219208917,10.7079223061836,9.50227530890487,8.94904288166479,11.8347239141661,12.6960529596446,11.7367904139271,5.04776662922245,5.40857117439626,12.1184376002832
"TCGA-E2-A14O-01A","LumB",10.2597981477058,8.73853200045868,8.87376905935354,10.9999628632796,9.76213407163472,9.6182398342305,7.31764653567538,10.650161318675,13.4544524210225,6.76453495527098,10.4549545527254,10.5288222293422,7.70465975558878,0.00962345632602535,10.7197736818679,8.38697980231015,15.4662576628662,12.2117185294737,9.07034729809102,8.78466132488855,8.69002442285504,11.458165344984,11.5485211403951,10.2414579062195,7.95817112490966,12.1011393980799,9.1540625761406,6.63459764374385,10.4461355527098,11.2419064386138,9.77368256144256,8.31429735273503,13.0116242514909,11.1594667227283,12.105611233825,0.31241642061606,3.51144484538025,8.3390997760831
"TCGA-E2-A10A-01A","LumA",10.7279986226817,9.97985417572538,10.1320453736775,11.4285632376949,10.0106755004431,8.73853200045868,7.18130057718394,10.1707211457369,13.6419083403114,6.98475768608828,9.63022985476322,10.3095242106669,5.40857117439626,0.00962345632602535,11.3577899976999,9.10879208148896,15.6320862556375,12.4709409119432,9.01507837636844,8.76618525341501,9.34557307912089,11.3243136323921,11.9161942623028,8.32686733046334,6.88491732031664,10.8953536702574,8.84698345698929,6.0579752740854,11.6363277916812,10.5288222293422,9.66509020607588,7.78781369280051,12.1532598691061,11.6438115042527,12.3808904346855,1.61173721774622,5.68943666468764,10.3895181376706
"TCGA-D8-A1XG-01A","LumA",7.75522300867905,8.56800095103933,7.4451353770574,10.7730640298944,8.45724628895034,8.78466132488855,8.48041785178923,8.21230312921838,12.5176289781642,10.2865512150107,8.63932190892,12.225416662983,3.42533923879022,2.13610179406911,9.03099934212261,6.98475768608828,16.5558553648413,12.5606526508734,8.37466971719466,7.49965568122907,10.7770805386383,10.9342629870681,11.1408695770549,7.85003494765368,6.8056189286579,11.582526735234,8.69975849644493,4.97596474664337,11.6628731617775,9.84988730808178,9.21152531608369,7.00481619930008,11.6363277916812,11.8672263562571,11.8956473337989,1.91339515101103,5.52665667169026,11.1221213284103
"TCGA-AO-A0JD-01A","LumB",11.2981100883042,10.938285741485,9.46441233486506,12.1316659711019,11.1370366235075,11.2195102641119,7.37284740281152,11.3577899976999,13.6669028709134,8.50290881542273,10.3050002282617,10.9190159780811,5.967178713102,4.14996567965466,11.2754890801763,9.61215306061716,14.8850652969841,11.0460221318732,9.5389797145513,7.72146415191502,10.1659192364349,12.1933027555825,11.7406820723112,7.95817112490966,7.42802486909716,11.5750495176958,9.3794244087354,7.29894106547474,11.1106738487087,10.8637779754892,9.90790984779729,6.23718178731088,12.5332526312285,12.8868100805151,12.7443362681269,1.27624681163049,5.78330641633946,9.2265154117585
"TCGA-E9-A1N8-01A","Basal",11.0270841652107,9.68890796862675,10.6251272714653,11.7327403380852,9.94435942840942,11.3690288441692,6.88491732031664,11.3091712482181,12.7877330991739,7.97302450590522,9.64173247021336,10.4200644782455,4.60927712485048,0.00719871988096621,10.020457374888,9.55746987392293,4.48392474117817,12.2621314242802,9.78971550309407,7.18130057718394,7.92838780719191,12.0031704639574,13.7760948926312,6.32753748836547,9.20470539648328,11.4957497627325,9.03099934212261,8.38697980231015,11.2343842730333,11.2419064386138,11.1181767631445,6.56978497225527,13.5794219208917,12.9581506931066,9.33214052538121,0.0536723266877428,7.72146415191502,8.94904288166479
"TCGA-A1-A0SN-01A","LumB",10.4069335192826,9.14633493271058,9.33214052538121,13.0194399635837,9.87632536081561,9.6182398342305,8.31429735273503,10.7888567050705,14.4701126839203,8.36277072842537,9.2265154117585,11.2644259580907,7.18130057718394,1.4005191427879,11.4099365906807,8.89077077629575,14.9676127101334,11.5637083871117,9.1540625761406,10.1470089048696,9.63022985476322,10.5961327950036,11.9407327845657,8.67012813273099,7.20111897192378,11.1028849187272,8.54681846198191,8.27538960659967,12.5931454721737,10.4723408214789,9.31113903079018,8.60859844258371,11.6779859294459,12.1707927194389,12.2209250605998,0.0262406719740005,5.02316696784719,11.3091712482181
"TCGA-A8-A08C-01A","LumA",9.00726025694384,8.54681846198191,8.10386850704129,10.3590320795015,9.10879208148896,8.43384773599546,7.51799569674383,8.85653534621328,11.7792748103506,8.04552319863099,8.63932190892,10.4024910507151,6.28242918784003,0.0110441767068274,10.1470089048696,7.91365051884764,16.5558553648413,12.2711455214709,8.41106609588232,9.53277788632222,8.80324328468687,11.0421402519652,10.4461355527098,7.35446216975448,7.97302450590522,11.3091712482181,8.72899662696302,7.65532501996219,11.2002916606105,10.1130204414048,9.08555779164735,7.80337998433956,11.7676219253005,12.1978507787088,12.6098860581663,2.13610179406911,6.43805931606458,10.1659192364349
"TCGA-AR-A0TQ-01A","LumB",10.8597930584407,10.2506010763284,9.97480526934456,13.9109999019145,10.2041175549159,10.4769432771602,8.35102832434774,11.3948939065895,13.4649557812232,8.31429735273503,9.94933301574489,11.8631313992751,7.86588191270035,4.87738253980982,11.0078342960837,9.63600420987003,13.1230887658092,11.6974964058446,9.90790984779729,8.07524181804368,9.3794244087354,11.064959257796,12.4401786628687,9.57617604393198,7.85003494765368,10.3185865017058,8.50290881542273,8.04552319863099,12.4302545353128,11.1221213284103,9.95950375130313,6.76453495527098,11.4543520894456,12.781418834833,13.2917464813444,3.0836125661259,4.50933815918984,10.2368622959595
"TCGA-A8-A0A9-01A","LumA",10.1372071692967,9.04628580975251,8.73853200045868,10.4287019126505,9.55746987392293,8.82072067344583,7.4451353770574,10.2685943823861,13.2553070658241,7.37284740281152,8.86521061677916,10.7688240354941,7.00481619930008,0.985990947848118,10.336661290069,8.42305503262728,15.8347615234831,12.3042531966667,8.26259017011159,9.43190912126153,9.07034729809102,10.8559221461683,11.5370789633052,8.49177566505104,7.08432476422093,11.532953194802,9.27625520471046,6.94644437520396,11.8754302839947,11.36515841683,9.28335676693036,7.40933322960335,12.1184376002832,11.9079441199232,12.7877330991739,0.433760075610801,5.1705027709834,10.7362289843141
"TCGA-A8-A08R-01A","Basal",12.0533965273152,10.9806989147463,11.5254210746062,12.3662879633558,10.7610473593774,10.938285741485,7.55190625608641,11.0991142861847,15.3953991078689,6.12606199577552,10.0399740231019,11.6895791667312,4.9518819317306,0.433760075610801,10.5029858397874,9.29714274355517,7.49965568122907,11.8469845202007,11.5940359971963,8.22469090187915,8.62895540584129,12.2117185294737,12.6154501577786,8.04552319863099,6.76453495527098,11.998995290945,10.3050002282617,9.50227530890487,12.1402197470861,11.3390932538634,9.7397091203047,6.69823052008877,13.7611458907682,13.4131575263684,9.76213407163472,0.0352768165523136,7.72146415191502,10.0447311274225
"TCGA-AR-A24H-01A","LumB",11.3091712482181,10.3547312148122,10.7279986226817,13.0266083485459,11.5031553889824,11.0842160217451,8.07524181804368,11.7367904139271,15.2705277022179,7.89880237283691,11.2119357065724,11.0534536701586,5.33857958407669,3.022860199232,11.7288066209355,9.96988258703604,15.0116258534784,11.3577899976999,10.6461851355136,7.95817112490966,9.74546728363083,12.1620099341888,12.5659537303647,7.12355520276278,7.53532760165285,11.3429055861952,9.03099934212261,8.39908095343754,11.5446827528113,10.6002680606153,10.2041175549159,7.31764653567538,11.8754302839947,13.1148813272736,12.6378820186715,0.0352768165523136,3.9858651376976,9.42575105249289
"TCGA-A2-A04W-01A","HER2E",10.0790930494018,9.68296573882427,9.26898354914478,11.8267171472941,9.21922934155836,8.68036420549017,8.54681846198191,9.31812974484847,14.3931122247696,8.37466971719466,9.7341237426871,11.2942589902,8.94904288166479,0.00719871988096621,9.96988258703604,7.55190625608641,8.85653534621328,10.7040047599814,8.08933481656732,9.51424818209223,8.44575054144547,11.3390932538634,12.1184376002832,9.97480526934456,7.89880237283691,11.5254210746062,9.60033593228992,7.65532501996219,12.0578547863093,11.8347239141661,9.68890796862675,7.4451353770574,12.781418834833,12.7263595878862,12.1752916684011,0.134105089049579,7.37284740281152,11.2379854834641
